nama_barang
Barometric Pressure Sensor BMP280 GY8
Carbon Monoxide Combustible Gas Sensor MQ9
RFID Sensor MFRC522 Contactless Reader
Sensor Suhu & Kelembapan DHT11
Obstacle Avoidance Sensor KY032
Waterproof Temperature Sensor DS18B20
Magnetometer Compass Module GY271 HMC58831
Current Sensor INA219
Voltage Sensor Divider DC 025V
Bluetooth Wireless RF Transceiver HC05
Actuator RGB 3 Full Color 5050 SMD LED
Actuator LCD 2x16 Black On Yellow
Actuator LCD 1602 2004 I2C
Actuator LED Lampu Lalu Lintas
Actuator 2 Channel Relay 5V
Actuator 4 Bits TM1637
Actuator Stepper Motor 5V
Acuator Stepper L298N Dual H
Actuator Micro Servo SG90
Actuator MAX7219 LED Dot Matrix
Actuator Yellow Blue OLED 0.96 inch
Actuator Solenoid Door Lock 12V Automation
Actuator L293D Motor Driver Shield
Actuator Mounting Bracket Sensor Ultrasonic HCSR04
Actuator OCA9685 Driver Motor Servo 16 Channel
Actuator Servo Tower Pro MG996
Switch Push Button 12x12x7.3mm
Resistor 1K ohm 0.25watt 5 Percent
LED 10mm Biru
Potensiometer 1K RV09 12.5mm
Keypad Membran 4x4
Joystick KY023 Dual Axis XY
Real Time Clock RTC DS3231 Plus IC AT24C32
Jumper Cable Male to Male 2.54mm (isi 20)
Jumper Cable Female to Female 2.54mm (isi 20)
Wireless 433Mhz RF
Breadboard Mini 400 Solderless Point
Kabel Jumper Male Bread Board
Kabel Jumper Female Bread Board
Sensor TCS230 Color Sensor
Sensor MMA 7361 Accelerometer GY32
Arduino Part Water Sensor for Arduino
Arduino Part Soil Moisture Sensor
Arduino Part Microphone Sensor
Arduino Part Infrare Receiver
Arduino Part TCRT5000L Reflective Infrared Optical Sensor
Arduino Part Sensor Gerak / Sensor PIR (PIR HC SR501)
Sensor GY26 Compass Sensor Module for GPS Navigation
Baterai 1.5V Alkaline AA (2019)
Baterai 1.5V Alkaline AAA (2019)
Baterai 9V Alkaline Kotak (2019)
PIR Motion Sensor Module 276135
Arduino Part ITEAD Bluetooth Shield (2019)
Real Time Clock DS1307
Arduino Part Seven Segmen Shield
Motor Servo 360 derajat DS04 NFC
Motor DC Gear Box Kecil+Roda
UTP Cable cat 6 Panduit Copper Cable (2019)
Arduino Part Mini Solar Panel for Arduino
Arduino Part Touch Button Sensor
Arduino Part Weight Sensor 20Kg / Load Cell 20Kg
Arduino Part LM393 Sound Detection Sensor
Hotplug Tray Server Bracket HDD Tray Server DELL 3.5 inch (2019)
Arduino Part Ethernet Shield W5100
Mounting SSD HDD Bracket 2.5 inch to 3.5 inch (2019)
Router dan Gateway Wireless RBD52G
Sensor GY 30 BH1750FVI Digital Light Intensity
Arduino Part ESP9266 Serial Wifi
Cable NYHY 3x1.5mm Supreme Isi 100 meter
Cable NYM 3x1.5mm Supreme Roll 100m
Toner HP 126A CE310A Black Original
Toner HP 126A CE311A Cyan Original
Toner HP 126A CE312A Yellow Original
Toner HP 126A CE313A Magenta Original
Toner HP P1102 85A Black CE205A Original
Connector RJ45 AMP
Connector BNC Crimping RG58
Connector BNC RGB
Connector BNC to RCA
Arduino Part Wifi Shield CC3000
Tang Crimping AMP cat6
Card Memory Server SK Hynix 8gb PC42400T
Rivert Tool Aion
Busa Peredam 200x100x5cm x 39m
Filament
Pen Tablet (stylus)
Card SSD
Card SSD 1TB
Layar Greenscreen Roll Up
Card Memory Server
Connector cat 6
RJ45 cat 5
Toner
Toner 85A
Casing External
Casing External 3.0
Laptop HP
Laptop HP JTIK 27
Raspberry Pi 400 Kit
Arduino Part Project Board
ARM Based IoT Kit for Cloud IoT Core
LCD 7 Touchcreen
NVIDIA Jetson Nano B01 Developer Kit
Pencil Choarcoal
Printer 3D Creality Ender 5 Pro
Printer 3D ETS
Raspberry Pi 4 Model B
Mic Tafware BM800
Kamera Portable
Pen Tablet Wacom
Pen Tablet Bamboo
Hardisk External 1TB
Webcam
Kabel USB 3.0 to HDMI Converter Adapter
Ic CMOS 4002
Ic TTL 7427
Ic TTL 7402
Ic TTL 7430
Ic TTL 7420
Ic TTL 7410
Ic TTL 7432
Ic TTL 7421
Ic TTL 7408
LM259 DC Adjustable Step Down
Converter DC
Voltmeter
Kabel Audio 3.5mm to RCA 2 Male
Solder Uap Blower CODY 939D+
Sound Card V8S Mixer Bluetooth Audio
JBL Live 500BT Wireless Over Ear Headphones
Laptop Acer TravelMate P414 gen 12
Lenovo Ideapad Slim 3
Digital Graphic Drawing Pen Tablet
Microphone Mic Clip On Boya BYM1
GPS Module Neo6 Ublox
HDMI Capture Video
Converter RJ45 to USB
Kabel Console Cisco USB RS232 to RJ45
Sensor DHT22
Sensor GPS Neo 7M
Luxmeter
SIM900GA GSM GPRS
ESP32
Adapter Powerbank Baterai 18650
PCB Bolong
ESP8266
PCB Polos
Resistor 10ohm
Oculus
NRF
Terminal Screw Shield 38PIN GPIO for ESP32
Waterproof Temperature Probe DS18B20
Arduino UNO R3 ATMEGA 16U2 Compatible
Kabel Silikon 26 AWG
Pompa Air Celup Mini DC 3v-5v
Webcam 1080P Laptop USB Kamera PC
FPM10A Fingerprint Sensor Sidik Jari Module
Toolkit Network Repair 13in1 Tool Kit LAN
Kit IoT
HCSR04 Sensor Ultrasonic / Ultrasonic PING
Sensor pH Tanah Support Arduino
Paket Lengkap Kabe Jumper Dupont 20cm
Baseus Airpow Air Lite Powerbank 1000mAh
Paranet Lebar 3 Meter
Multitester FLUKE 101 Digital Multimeter
GY GPSV3 NEO 8M Ublox GPS Sensor
Buzzer Piezo Elctric Alarm DC 3V-24V
Heat Shrink / Isolasi Bakar 8mm
ESP32 DOIT WIFI Bluetooth IoT Development Board
Vention 10M Kabe HDMI Male to Male
Kabel Jumper 40 Pin 20cm Male to Female
Kartu Perdana By.U 3GB
Modem 4G LTE USB MODEM E3250
Heat Shrink / Isolasi Bakar 4mm
Kipas Mini Fan DC 12V
40pcs Jumper Cable 10cm Male to Male Dupont
Walkie Talkie BF 888S Waterproof Portable
1pcs AS150 XT150 Connector
Materai 10000
DFROBOT Gravity 1Kg Weight Sensor Kit HX711
Adaptop Replacement DC 6V 1A
Stiker Kaca / Sunblast
LM2596 Module DC to DC Stepdown
Fingerptint Sensor Recognition Module AS608
Modul OLED LCD dengan I2C Putih
Plastik UV Lebar 4.2 Meter Bening 200 Micron
DC Stepdown Buck Converter 12A
Timah Solder 0.8mm 5 meter
SIM800L GPRS GSM Module
Baterai 18650
Heat Shrink / Isolasi Bakar 3mm
DT830B Multimeter
FreeOn Ultrasonic Mist Maker Himifider
Breadboard MB102 Solderless 830P
Power Adapter LED Strip 24V 2A
ESP32 DevKitC V4 WROOM 32D Plus Kabel USB
10pcs Resistor 1/4W 150ohm
Webcam JETE W7 Full HD 1080
Kabel Jumper 40 Pin 20cm Female to Female
Power Supply Stepdown MP1584EN
Sensor Kelembapan Suhu Capacitive Soil Arduino
ESP32 Doit Wifi Bluetooth IoT Expansion Plate
VGA Extender / UGreen Kabel VGA 5 meter
Kabel Silicon Fleksible 14 AWG
ESP32 CAM+OV2640 Camera+ESP32 Dev Board
Sensor Suhu dan Kelembapan DHT11
ESP32 Doit Wifi Bluetooth IoT 38 Pin USB-C
Nitto Isolasi Listrik Original Tape Hitam
Power Module DC Stepdown Multi Output
Speaker 1.5 inch Fullrange 4ohm 3W-5W
Kartu RFID Card 13.56 MHz S50 1K
JCD Set Peralatan Solder Listrik Kit 80W
Heat Shrink / Isolasi Bakar 6mm
Breadboard Mini MB102 400P
Lampu LED 5mm 2 Kaki 2 Warna
Pressure Sensor Weighing Electronic Scale 5Kg
Heat Shrink / Isolasi Bakar 5mm
Informa Walter li Rak Troli Dapur 3 Tingkat
DF Player Mini MP3 Player Module
Sensor pH Tanah Support Arduino+DMS
YL69 Module Sensor Kelembapan Tanah
Thinner Merk Impala 1 Liter
TDS Sensor Meter V1.0 for Arduino UNO R3
Antena ESP32
Base Board ESP32 30 Pin Baseboard Doit
HDMI to VGA Converter Kabel
Adaptor DC 12V 2A
Power Module Multi Output DC 12V to 3.3V 5V 12V
ESP32 Doit Wifi Bluetooth IoT ESP32 S Board
Kabel Supply Daya JZSP CVP01 03E 3M
Hobbywing XRotor 40A Brushless ESC
40pcs Jumper Cable 10cm Male to Female Dupont
Baterai Holder 2x 18650 Seri Paralel
Pasta Solder Lotfett 100gram
Tabung Gas Elpiji Bright Gas 12Kg
Heat Shrink / Isolasi bakar 10mm
Robot Charger RL L1 Single Port Micro USB
Relay 5V 2 Channel
Tanah Liat Animasi Mr.Clay 2
Adaptor Micro USB 5V 3A
Creality Ender 3 3D Printer Build Bed Tape
Sunlu 3D Printer Filament Silk PLA+Rainbow
Zomei Q666 Travel Tripod Monopod Ball Head
Acrylic Load Cell
Conector Konektor Micro JST 1.25 2 Pin
MFRC 522 RC522 RFID Card+Keychain
Raspberry Pi Camera Model 1080p 5MP OV5647
Deli Digital Test Pen / Tes Pen Digital
Kertas Karton Manila Warna
Kabel Ties 30cm
ESP32 Camera Wifi Bluetooth Power Supply 12V 3A
Baseus Bipow Bank Fast Charging 10000mAh 20W
Kabel Jumper 40 pin 20cm Male to Male
IoT Starter Kit File PDF
PIR Motion Sensor Detector HCSR501
Sensor Jarak / Sensor Lidar 400cm VL53L1X Laser Sonar TOF for Lidar Arduino Robot
ESP32 WROOM 32U Devkit Board
Sensor Suhu dan Kelembapan DHT22
LCD Display Module 3.5inch TFT Touchscreen for Raspberry Pi
Trainer Kit Internet of IoT
SIM700G Modul
Digital Light Intensity Sensor Module GY302 BH1750
Kapasitor 680pF
Relay Module 1 Channel 5V Supports High Low and Low Trigger 5V
AION Plas Chamois
ToF Laser Ranging Sensor Module TFLuna 8M Distance Lidar Communication UART I2C IIC 8 Meters JUDEL
GPS Module Ublox Neo6M V2 Modul GPS GY GPS6MV2
Antena SIM800L
Konektor XT60 Connector Male Female
Imperion Power Supply 500W PSS500
Camera Raspberry Pi 2
Micro Sd
